Treatment Month,HSC Trust,% treated within 62 days,,,,,,
May-18,Western,81.8,,,,,,
Jun-18,Belfast,65.0,,,,,,
Jun-18,Northern,70.3,,,,,,
Jun-18,South Eastern,60.4,,,,,,
Jun-18,Southern,78.8,,,,,,
Jun-18,Western,84.8,,,,,,
Jul-18,Belfast,48.5,,,,,,
Jul-18,Northern,60.6,,,,,,
Jul-18,South Eastern,54.4,,,,,,
Jul-18,Southern,79.3,,,,,,
Jul-18,Western,83.7,,,,,,
Aug-18,Belfast,60.5,,,,,,
Aug-18,Northern,66.9,,,,,,
Aug-18,South Eastern,52.4,,,,,,
Aug-18,Southern,74.2,,,,,,
Aug-18,Western,84.1,,,,,,
Sep-18,Belfast,48.7,,,,,,
Sep-18,Northern,56.3,,,,,,
Sep-18,South Eastern,49.7,,,,,,
Sep-18,Southern,81.5,,,,,,
Sep-18,Western,85.3,,,,,,
Oct-18,Belfast,49.8,,,,,,
Oct-18,Northern,60.6,,,,,,
Oct-18,South Eastern,47.3,,,,,,
Oct-18,Southern,68.8,,,,,,
Oct-18,Western,75.8,,,,,,
Nov-18,Belfast,44.2,,,,,,
Nov-18,Northern,64.0,,,,,,
Nov-18,South Eastern,45.5,,,,,,
Nov-18,Southern,75.8,,,,,,
Nov-18,Western,74.4,,,,,,
Dec-18,Belfast,49.4,,,,,,
Dec-18,Northern,70.1,,,,,,
Dec-18,South Eastern,51.4,,,,,,
Dec-18,Southern,72.3,,,,,,
Dec-18,Western,68.5,,,,,,
Jan-19,Belfast,49.2,,,,,,
Jan-19,Northern,73.0,,,,,,
Jan-19,South Eastern,39.9,,,,,,
Jan-19,Southern,71.4,,,,,,
Jan-19,Western,71.7,,,,,,
Feb-19,Belfast,50.0,,,,,,
Feb-19,Northern,73.5,,,,,,
Feb-19,South Eastern,52.9,,,,,,
Feb-19,Southern,70.4,,,,,,
Feb-19,Western,69.2,,,,,,
Mar-19,Belfast,50.0,,,,,,
Mar-19,Northern,68.6,,,,,,
Mar-19,South Eastern,55.0,,,,,,
Mar-19,Southern,76.8,,,,,,
Mar-19,Western,66.7,,,,,,
Apr-19,Belfast,50.0,,,,,,
Apr-19,Northern,65.2,,,,,,
Apr-19,South Eastern,42.8,,,,,,
Apr-19,Southern,82.1,,,,,,
Apr-19,Western,59.5,,,,,,
May-19,Belfast,33.7,,,,,,
May-19,Northern,64.4,,,,,,
May-19,South Eastern,39.8,,,,,,
May-19,Southern,59.1,,,,,,
May-19,Western,59.6,,,,,,
Jun-19,Belfast,43.1,,,,,,
Jun-19,Northern,56.1,,,,,,
Jun-19,South Eastern,44.1,,,,,,
Jun-19,Southern,74.4,,,,,,
Jun-19,Western,63.7,,,,,,
