Month Seen,HSC Trust,% seen within 14 days,,,,
Sep-18,Southern,100.0,,,,
Sep-18,Western,100.0,,,,
Oct-18,Belfast,100.0,,,,
Oct-18,Northern,57.5,,,,
Oct-18,South Eastern,98.2,,,,
Oct-18,Southern,99.7,,,,
Oct-18,Western,100.0,,,,
Nov-18,Belfast,100.0,,,,
Nov-18,Northern,100.0,,,,
Nov-18,South Eastern,94.0,,,,
Nov-18,Southern,99.7,,,,
Nov-18,Western,99.1,,,,
Dec-18,Belfast,100.0,,,,
Dec-18,Northern,100.0,,,,
Dec-18,South Eastern,98.9,,,,
Dec-18,Southern,100.0,,,,
Dec-18,Western,100.0,,,,
Jan-19,Belfast,100.0,,,,
Jan-19,Northern,99.7,,,,
Jan-19,South Eastern,88.8,,,,
Jan-19,Southern,99.3,,,,
Jan-19,Western,99.6,,,,
Feb-19,Belfast,100.0,,,,
Feb-19,Northern,92.3,,,,
Feb-19,South Eastern,100.0,,,,
Feb-19,Southern,100.0,,,,
Feb-19,Western,100.0,,,,
Mar-19,Belfast,100.0,,,,
Mar-19,Northern,49.1,,,,
Mar-19,South Eastern,98.6,,,,
Mar-19,Southern,100.0,,,,
Mar-19,Western,94.4,,,,
Apr-19,Belfast,100.0,,,,
Apr-19,Northern,26.7,,,,
Apr-19,South Eastern,100.0,,,,
Apr-19,Southern,99.6,,,,
Apr-19,Western,100.0,,,,
May-19,Belfast,100.0,,,,
May-19,Northern,21.0,,,,
May-19,South Eastern,100.0,,,,
May-19,Southern,100.0,,,,
May-19,Western,99.4,,,,
Jun-19,Belfast,100.0,,,,
Jun-19,Northern,23.2,,,,
Jun-19,South Eastern,100.0,,,,
Jun-19,Southern,100.0,,,,
Jun-19,Western,100.0,,,,
